event_id,title
37,kevin lee vs. michael chiesa
38,douglas silva de andrade vs. rob font
38,anthony pettis vs. jim miller
38,curtis blaydes vs. daniel omielańczuk
38,alistair overeem vs. fabrício werdum
38,robert whittaker vs. yoel romero
39,james mulheron vs. justin willis
39,khallil rountree jr. vs. paul craig
39,jack marshman vs. ryan janes
39,paul felder vs. stevie ray
39,cynthia calvillo vs. joanne calderwood
39,gunnar nelson vs. santiago ponzinibbio
40,jimmie rivera vs. thomas almeida
40,gian villante vs. patrick cummins
40,darren elkins vs. dennis bermudez
40,chris weidman vs. kelvin gastelum
42,alejandro pérez vs. andre soukhamthath
42,rashad evans vs. sam alvey
42,humberto bandenay vs. martin bravo
42,alan jouban vs. niko price
42,alexa grasso vs. randa markos
42,brandon moreno vs. sergio pettis
43,bryan barberena vs. leon edwards
43,marion reneau vs. talita bernardo
43,rob wilkinson vs. siyar bahadurzada
43,alexander volkov vs. stefan struve
45,justin ledet vs. zu anyanwu
45,kamaru usman vs. sérgio moraes
45,gregor gillespie vs. jason gonzalez
45,anthony smith vs. héctor lombard
45,alex reyes vs. mike perry
45,david branch vs. luke rockhold
46,jussier formiga vs. ulka sasaki
46,rolando dy vs. teruto ishihara
46,gökhan saki vs. henrique da silva
46,dong hyun ma vs. takanori gomi
46,claudia gadelha vs. jessica andrade
46,ovince saint preux vs. yushin okami
47,kalindra faria vs. mara romero borella
47,fabricio werdum vs. walt harris
47,demetrious johnson vs. ray borg
47,kevin lee vs. tony ferguson
48,jonathan wilson vs. oskar piechota
48,devin clark vs. jan błachowicz
48,jodie esquibel vs. karolina kowalkiewicz
48,darren till vs. donald cerrone
49,john lineker vs. marlon vera
49,jack hermansson vs. thiago santos
49,francisco trinaldo vs. jim miller
49,pedro munhoz vs. rob font
49,colby covington vs. demian maia
49,derek brunson vs. lyoto machida
50,johny hendricks vs. paulo costa
50,jorge masvidal vs. stephen thompson
50,joanna jędrzejczyk vs. rose namajunas
50,cody garbrandt vs. t.j. dillashaw
50,georges st-pierre vs. michael bisping
51,clay guida vs. joe lauzon
51,matthew lopez vs. raphael assuncao
51,cezar ferreira vs. nate marquardt
51,andrei arlovski vs. júnior albini
51,diego sanchez vs. matt brown
51,anthony pettis vs. dustin poirier
52,alexander volkanovski vs. shane young
52,daniel kelly vs. elias theodorou
52,bojan veličković vs. jake matthews
52,belal muhammad vs. tim means
52,bec rawlings vs. jessica-rose clark
53,alex garcia vs. muslim salikhov
53,alex caceres vs. wang guan
53,li jingliang vs. zak ottow
53,kelvin gastelum vs. michael bisping
54,michelle waterson vs. tecia torres
54,eddie alvarez vs. justin gaethje
54,henry cejudo vs. sergio pettis
54,alistair overeem vs. francis ngannou
54,josé aldo vs. max holloway 2
55,glover teixeira vs. misha cirkunov
55,mike perry vs. santiago ponzinibbio
55,josh emmett vs. ricardo lamas
55,rafael dos anjos vs. robbie lawler
56,carlos condit vs. neil magny
56,carla esparza vs. cynthia calvillo
56,dan hooker vs. marc diakiese
56,edson barboza vs. khabib nurmagomedov
56,cris cyborg vs. holly holm
57,darren elkins vs. michael johnson
57,emil meek vs. kamaru usman
57,jessica-rose clark vs. paige vanzant
57,choi dooho vs. jeremy stephens
58,rob font vs. thomas almeida
58,francimar barroso vs. glan villante
58,calvin kattar vs. shane burgos
58,daniel cormier vs. volkan oezdemir
58,francis ngannou vs. stipe miocic
60,anthony smith vs. thiago santos
60,douglas silva de andrade vs. marlon vera
60,marcelo golm vs. timothy johnson
60,desmond green vs. michel prazeres
60,priscilla cachoeira vs. valentina shevchenko
60,eryk anders vs. lyoto machida
61,saparbek safarov vs. tyson pedro
61,jake matthews vs. li jingliang
61,cyril asker vs. tai tuivasa
61,curtis blaydes vs. mark hunt
61,luke rockhold vs. yoel romero
62,sage northcutt vs. thibault gouti
62,brandon davis vs. steven peterson
62,curtis millender vs. thiago alves
62,francisco trinaldo vs. james vick
62,derrick lewis vs. marcin tybura
62,donald cerrone vs. yancy medeiros
64,cat zingano vs. ketlen vieira
64,andrei arlovski vs. stefan struve
64,andre soukhamthath vs. sean o'malley
64,brian ortega vs. frankie edgar
64,cris cyborg vs. yana kunitskaya
65,leon edwards vs. peter sobotta
65,terrion ware vs. tom duquesnoy
65,jan błachowicz vs. jimi manuwa
65,alexander yolkov vs. fabricio werdum
66,cortney casey vs. michelle waterson
66,israel adesanya vs. marvin vettori
66,alex oliveira vs. carlos condit
66,dustin poirer vs. justin gaethje
67,dan hooker vs. jim miller
67,aljamain sterling vs. brett johns
67,david branch vs. thiago santos
67,chase sherman vs. justin willis
67,cub swanson vs. frankie edgar
67,edson barboza vs. kevin lee
68,lyoto machida vs. vitor belfort
68,brian kelleher vs. john lineker
68,amanda cooper vs. mackenzie dern
68,kelvin gastelum vs. ronaldo souza
68,amanda nunes vs. raquel pennington
69,chad laprise vs. vicente luque
69,andrea lee vs. veronica macedo
69,diego rivas vs. guido cannetti
69,dominick reyes vs. jared cannonier
69,alexa grosso vs. tatiana suarez
69,demian maia vs. kamaru usman
70,davey grant vs. manny bermudez
70,cláudio silva vs. nordine taleb
70,jason knight vs. makwan amirkhani
70,arnold allen vs. mads burnell
70,craig white vs. neil magny
70,darren till vs. stephen thompson
71,gian villante vs. sam alvey
71,daniel teymur vs. julio arce
71,ben saunders vs. jake ellenberger
71,daniel spitz vs. walt harris
71,gregor gillespie vs. vinc pichel
71,jimmie rivera vs. marlon moraes
72,cm punk vs. mike jackson
72,andrei arlovski vs. tai tuivasa
72,holly holm vs. megan anderson
72,colby covington vs. rafael dos anjos
72,robert whittaker vs. yoel romero 2
73,daichi abe vs. li jingliang
73,jessica eye vs. jessica-rose clark
73,ovince saint preux vs. tyson pedro
73,donald cerrone vs. leon edwards
